comment_sentence_id,class,comment_sentence,partition,instance_type,category
2,Abfss.java,impl deleg old filesystem,0,0,summary
516,FileSystemApplicationHistoryStore.java,link applicationstart applicationstartdata suppos,1,0,summary
517,FileSystemApplicationHistoryStore.java,invok first write histori data one applic,0,0,summary
6,AbstractContractGetFileStatusTest.java,tree paramet,1,0,summary
518,FileSystemApplicationHistoryStore.java,open file link applicationfinish applicationfinishdata,0,0,summary
7,AbstractContractGetFileStatusTest.java,kept small avoid kill object store test run much,1,0,summary
519,FileSystemApplicationHistoryStore.java,suppos last write oper close file,0,0,summary
8,AbstractContractGetFileStatusTest.java,accept everyth,1,0,summary
9,AbstractContractGetFileStatusTest.java,tree paramet,0,0,summary
10,AbstractContractGetFileStatusTest.java,kept small avoid kill object store test run much,1,0,summary
11,AbstractContractGetFileStatusTest.java,accept noth,0,0,summary
1035,TestCustomOauthTokenProvider.java,instead check creation work everyth,1,0,summary
12,AbstractContractGetFileStatusTest.java,tree paramet,0,0,summary
1036,TestCustomOauthTokenProvider.java,propag,1,0,summary
13,AbstractContractGetFileStatusTest.java,kept small avoid kill object store test run much,0,0,summary
14,AbstractContractGetFileStatusTest.java,path filter expect path whose final name element,1,0,summary
15,AbstractContractGetFileStatusTest.java,equal code match field,0,0,summary
16,AbstractContractGetFileStatusTest.java,tree paramet,1,0,summary
17,AbstractContractGetFileStatusTest.java,kept small avoid kill object store test run much,0,0,summary
18,AbstractContractGetFileStatusTest.java,filesystem filter expo protect method,1,0,summary
19,AbstractContractGetFileStatusTest.java,link listlocatedstatu path pathfilt,0,0,summary
1058,TestHDFSServerPorts.java,correct behavior br specif port provid server must either start port fail throw link javanetbindexcept,1,0,summary
1059,TestHDFSServerPorts.java,br,0,0,summary
1060,TestHDFSServerPorts.java,port 0 ephemer server choos free port start,1,0,summary
44,AbstractS3ACommitterFactory.java,dynam creat output committ base subclass type set,0,0,summary
1072,TestNativeAzureFileSystemUploadLogic.java,arbitrari number valu write predict,1,0,summary
1073,TestNativeAzureFileSystemUploadLogic.java,variou scenario test often flush data upload,0,0,summary
562,HttpHeaderConfigurations.java,respons keep abf http header,1,0,summary
53,ApplicationConstants.java,type launch contain,0,0,summary
54,ApplicationConstants.java,environ applic,1,0,summary
567,InconsistentS3ClientFactory.java,client test product,0,0,summary
568,InconsistentS3ClientFactory.java,code hadoop aw modul enabl integr test use,1,0,summary
569,InconsistentS3ClientFactory.java,edit hadoop configur use bring client,0,0,summary
1086,TestProtoBufRpc.java,test depend testproto definit type src test proto,1,0,summary
1087,TestProtoBufRpc.java,protobuf servic definit src test test rpc serviceproto,0,0,summary
66,AutoInputFormat.java,current handl text sequenc file,1,0,summary
74,BalancingPolicy.java,cluster balanc node balanc,0,0,summary
75,BalancingPolicy.java,cluster balanc pool node balanc,1,0,summary
588,ITestCommitOperations.java,done inconsist client,0,0,summary
1105,TestSaveNamespace.java,case cover,1,0,summary
594,ITestS3Select.java,execut destin store declar support featur,0,0,summary
1106,TestSaveNamespace.java,ol,1,0,summary
1107,TestSaveNamespace.java,li recov failur save second storag directori li,0,0,summary
1108,TestSaveNamespace.java,li recov failur move current lastcheckpointtmp li,1,0,summary
1109,TestSaveNamespace.java,li recov failur move lastcheckpointtmp,0,0,summary
1110,TestSaveNamespace.java,previouscheckpoint li,1,0,summary
1111,TestSaveNamespace.java,li recov failur roll edit file li,0,0,summary
88,BatchedRequests.java,placement algorithm tend give optim,1,0,summary
1112,TestSaveNamespace.java,ol,0,0,summary
89,BatchedRequests.java,placement request batch togeth,1,0,summary
90,BatchedRequests.java,placementalgorithmoutput attempt number time request,0,0,summary
604,KerberosDelegationTokenAuthenticator.java,fall back link pseudodelegationtokenauthent http,1,0,summary
605,KerberosDelegationTokenAuthenticator.java,endpoint trigger spnego authent,0,0,summary
104,BlocksMap.java,block metadata current includ blockcollect belong,1,0,summary
105,BlocksMap.java,datanod store block,0,0,summary
619,LoggedTask.java,know pssibli empti sequenc attempt footprint,1,0,summary
620,LoggedTask.java,runtim,0,0,summary
1132,TestSwiftFileSystemContract.java,test overrid base class test,1,0,summary
621,LoggedTask.java,public method simpli accessor instanc variabl,0,0,summary
1133,TestSwiftFileSystemContract.java,swiftf implement featur,1,0,summary
622,LoggedTask.java,want write json file,0,0,summary
1134,TestSwiftFileSystemContract.java,behavior swiftf match normal,1,0,summary
1135,TestSwiftFileSystemContract.java,contract normal mean directori equal file,0,0,summary
1136,TestSwiftFileSystemContract.java,treat equal,1,0,summary
120,CapacitySchedulerPlanFollower.java,implement,0,0,summary
632,LogWebService.java,support atsv2 client,1,0,summary
121,CapacitySchedulerPlanFollower.java,ad remov resiz leaf queue schedul thu affect,0,0,summary
122,CapacitySchedulerPlanFollower.java,dynam behavior schedul way consist,1,0,summary
1146,TestTaskCommit.java,framework fileoutputcommitt clean temporari,0,0,summary
123,CapacitySchedulerPlanFollower.java,content plan,1,0,summary
124,CapacitySchedulerPlanFollower.java,also updat plan view much resourc,0,0,summary
1148,TestTaskCommit.java,want test case,1,0,summary
125,CapacitySchedulerPlanFollower.java,avail cluster,0,0,summary
126,CapacitySchedulerPlanFollower.java,implement planfollow rel stateless,1,0,summary
638,MapContext.java,param keyin key input type mapper,0,0,summary
1150,TestTaskCommit.java,special committ alway requir commit,1,0,summary
127,CapacitySchedulerPlanFollower.java,synchron schedul plan arbitrari chang perform set,0,0,summary
639,MapContext.java,param valuein valu input type mapper,1,0,summary
128,CapacitySchedulerPlanFollower.java,differ among exist queue,0,0,summary
640,MapContext.java,param keyout key output type mapper,1,0,summary
129,CapacitySchedulerPlanFollower.java,make resili frequenc,0,0,summary
641,MapContext.java,param valueout valu output type mapper,1,0,summary
130,CapacitySchedulerPlanFollower.java,synchron rm restart issu catch necessari,0,0,summary
652,MetricsCache.java,cach record,1,0,summary
